key,area,populacao,pib_per_capita,total_uf,cidade_pct,uf_pct,camaro,cobalt,cruze,cruze_sport6,montana,onix,prisma,s10,spin,tracker,trailblazer
acreuna-GO,9419,22076,22389.59,3832,8.470628097073398e-5,0.03245944686798526,0,0,0.1,0.1,0.1,0.3,0.2,0.1,0,0.1,0
adamantina-SP,11768,35139,22168.60,33574,2.2870695862098174e-4,0.28439286773114225,0,0.07407407407407407,0.037037037037037035,0.1111111111111111,0,0.5185185185185185,0.037037037037037035,0.07407407407407407,0,0.07407407407407407,0.07407407407407407
agudos-SP,14475,36880,51928.14,33574,1.4400067765024777e-4,0.28439286773114225,0,0.058823529411764705,0.11764705882352941,0,0,0.8235294117647058,0,0,0,0,0
alexania-GO,16887,26770,25829.55,3832,2.5411884291220193e-5,0.03245944686798526,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333333,0,0,0
alfenas-MG,26796,79707,22470.05,9290,4.743551734361103e-4,0.07869213502181187,0,0,0.08928571428571429,0.05357142857142857,0.07142857142857142,0.7142857142857143,0,0.017857142857142856,0,0.05357142857142857,0
altamira-PA,45933,111435,29183.14,1262,5.505908263097708e-4,0.010689932658506629,0,0,0.06153846153846154,0,0.015384615384615385,0.8,0.046153846153846156,0.06153846153846154,0,0.015384615384615385,0
americana-SP,79744,233868,44046.60,33574,0.002422599635762992,0.28439286773114225,0,0.05244755244755245,0.08391608391608392,0.04895104895104895,0.027972027972027972,0.6258741258741258,0.017482517482517484,0.027972027972027972,0.04195804195804196,0.04895104895104895,0.024475524475524476
amparo-SP,36113,71193,45868.35,33574,8.470628097073398e-6,0.28439286773114225,0,0,0,0,0,0,0,1,0,0,0
ampere-PR,7857,18886,22391.86,9310,5.9294396679513786e-5,0.07886154758375334,0,0,0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0,0.14285714285714285,0.14285714285714285
anapolis-GO,152267,375142,33691.62,3832,0.0011858879335902757,0.03245944686798526,0,0.05,0.07857142857142857,0.02142857142857143,0.03571428571428571,0.5714285714285714,0.09285714285714286,0.05714285714285714,0.014285714285714285,0.05714285714285714,0.02142857142857143
