City,1st_close,2st_close,3st_close,4st_close,5st_close
acreuna-GO,mafra-SC,sao bento do sul-SC,guaxupe-MG,pato branco-PR,xaxim-SC
adamantina-SP,birigui-SP,presidente prudente-SP,sao jose do rio preto-SP,ituverava-SP,bebedouro-SP
agudos-SP,hortolandia-SP,sumare-SP,marilia-SP,pederneiras-SP,mogi guacu-SP
alexania-GO,pomerode-SC,itapoa-SC,dionisio cerqueira-SC,primavera do leste-MT,aracruz-ES
alfenas-MG,tres coracoes-MG,palhoca-SC,novo hamburgo-RS,cambe-PR,pouso alegre-MG
altamira-PA,senador canedo-GO,maracanau-CE,itumbiara-GO,porto velho-RO,tucurui-PA
americana-SP,pindamonhangaba-SP,caraguatatuba-SP,botucatu-SP,araraquara-SP,mogi das cruzes-SP
amparo-SP,novo horizonte-SP,aparecida-SP,rio claro-SP,sertaozinho-SP,sao carlos-SP
ampere-PR,veranopolis-RS,concordia-SC,medianeira-PR,cabedelo-PB,encantado-RS
anapolis-GO,palmas-TO,aracaju-SE,vila velha-ES,varzea grande-MT,natal-RN
andradina-SP,araras-SP,registro-SP,jaboticabal-SP,itu-SP,araraquara-SP
angelica-MS,piuma-ES,queimados-RJ,rio bonito-RJ,itaberai-GO,sao jose dos pinhais-PR
angra dos reis-RJ,nova friburgo-RJ,navegantes-SC,itajuba-MG,serra-ES,tubarao-SC
aparecida-SP,novo horizonte-SP,amparo-SP,rio claro-SP,sertaozinho-SP,sao carlos-SP
aparecida do taboado-MS,lucas do rio verde-MT,vilhena-RO,rio verde-GO,linhares-ES,jaciara-MT
aracaju-SE,vila velha-ES,natal-RN,palmas-TO,anapolis-GO,mossoro-RN
aracatuba-SP,barretos-SP,birigui-SP,sao jose do rio preto-SP,assis-SP,presidente prudente-SP
aracruz-ES,primavera do leste-MT,dourados-MS,ponta pora-MS,tres lagoas-MS,catalao-GO
araguari-MG,irati-PR,vacaria-RS,tres coracoes-MG,santa vitoria do palmar-RS,cachoeira do sul-RS
arapongas-PR,ibipora-PR,indaial-SC,arcos-MG,sao francisco do sul-SC,colatina-ES
araquari-SC,conceicao do mato dentro-MG,varginha-MG,chopinzinho-PR,mandaguari-PR,tres rios-RJ
araraquara-SP,itu-SP,indaiatuba-SP,mogi das cruzes-SP,caraguatatuba-SP,pindamonhangaba-SP
araras-SP,registro-SP,jaboticabal-SP,andradina-SP,tatui-SP,araraquara-SP
araucaria-PR,montenegro-RS,pato branco-PR,guaxupe-MG,venancio aires-RS,santo angelo-RS
araxa-MG,marica-RJ,saquarema-RJ,gravatai-RS,imbituba-SC,seropedica-RJ
arcos-MG,ibipora-PR,indaial-SC,sao francisco do sul-SC,itajuba-MG,canoinhas-SC
aruja-SP,guaratingueta-SP,mirassol-SP,botucatu-SP,americana-SP,presidente epitacio-SP
assis-SP,ourinhos-SP,bauru-SP,presidente prudente-SP,itapetininga-SP,birigui-SP
assis chateaubriand-PR,castro-PR,marechal candido rondon-PR,mafra-SC,vacaria-RS,umuarama-PR
atibaia-SP,sao joao da boa vista-SP,pedreira-SP,itu-SP,sao roque-SP,pindamonhangaba-SP
avare-SP,sao joao da boa vista-SP,diadema-SP,olimpia-SP,boituva-SP,braganca paulista-SP
balneario camboriu-SC,lages-SC,joinville-SC,foz do iguacu-PR,chapeco-SC,ponta grossa-PR
balsas-MA,mineiros-GO,sinop-MT,cornelio procopio-PR,camaqua-RS,gaspar-SC
barcarena-PA,altamira-PA,palmas-TO,anapolis-GO,aracaju-SE,vila velha-ES
barra bonita-SP,paraguacu paulista-SP,guaratingueta-SP,aruja-SP,mococa-SP,espirito santo do pinhal-SP
barra do bugres-MT,paranaiba-MS,itaberai-GO,jatai-GO,gurupi-TO,pimenta bueno-RO
barra do garcas-MT,nova andradina-MS,maraba-PA,tangara da serra-MT,jatai-GO,rio verde-GO
barra mansa-RJ,sao leopoldo-RS,volta redonda-RJ,capao da canoa-RS,canoas-RS,juiz de fora-MG
barretos-SP,aracatuba-SP,birigui-SP,sao jose do rio preto-SP,presidente prudente-SP,ourinhos-SP
barueri-SP,vinhedo-SP,sao caetano do sul-SP,cajamar-SP,osasco-SP,jundiai-SP
batatais-SP,olimpia-SP,varzea paulista-SP,salto-SP,dracena-SP,jaboticabal-SP
bauru-SP,assis-SP,ourinhos-SP,sao jose do rio preto-SP,americana-SP,sorocaba-SP
bebedouro-SP,braganca paulista-SP,franca-SP,nova odessa-SP,marilia-SP,jaboticabal-SP
belo horizonte-MG,porto alegre-RS,uberlandia-MG,goiania-GO,caxias do sul-RS,juiz de fora-MG
bento goncalves-RS,carazinho-RS,curitibanos-SC,montenegro-RS,guaxupe-MG,ijui-RS
bertioga-SP,santa fe do sul-SP,pitangueiras-SP,sao joaquim da barra-SP,guaira-SP,vargem grande paulista-SP
betim-MG,contagem-MG,ouro preto-MG,uberaba-MG,cambe-PR,palhoca-SC
biguacu-SC,timbo-SC,pouso alegre-MG,igrejinha-RS,tres coracoes-MG,varginha-MG
birigui-SP,mirassol-SP,sao jose do rio preto-SP,barretos-SP,assis-SP,presidente prudente-SP
blumenau-SC,caxias do sul-RS,jaragua do sul-SC,florianopolis-SC,joinville-SC,volta redonda-RJ
boa vista-RR,dourados-MS,corumba-MS,coxim-MS,gurupi-TO,palmas-TO
boituva-SP,sao joao da boa vista-SP,atibaia-SP,itu-SP,salto-SP,pirassununga-SP
bom jesus de goias-GO,pinhao-PR,assis chateaubriand-PR,castro-PR,francisco beltrao-PR,pomerode-SC
botucatu-SP,registro-SP,mairinque-SP,americana-SP,araraquara-SP,araras-SP
braganca paulista-SP,mogi das cruzes-SP,bebedouro-SP,pindamonhangaba-SP,caraguatatuba-SP,americana-SP
brasilia-DF,goiania-GO,manaus-AM,curitiba-PR,belo horizonte-MG,rio de janeiro-RJ
brusque-SC,cornelio procopio-PR,lages-SC,tubarao-SC,rio do sul-SC,balneario camboriu-SC
buritis-MG,viana-ES,navirai-MS,nova andradina-MS,jatai-GO,santa helena de goias-GO
cabedelo-PB,encantado-RS,sao miguel do oeste-SC,linhares-ES,fraiburgo-SC,itaqui-RS
cabo de santo agostinho-PE,ourilandia do norte-PA,marica-RJ,estancia velha-RS,saquarema-RJ,araxa-MG
cabo frio-RJ,itajai-SC,petropolis-RJ,marica-RJ,macae-RJ,congonhas-MG
cabreuva-SP,hortolandia-SP,salto-SP,boituva-SP,piracicaba-SP,registro-SP
cacador-SC,rio do sul-SC,xanxere-SC,brusque-SC,araucaria-PR,mafra-SC
cacapava-SP,jacarei-SP,pindamonhangaba-SP,americana-SP,mairinque-SP,sao joao da boa vista-SP
cachoeira do sul-RS,farroupilha-RS,santa rosa-RS,ijui-RS,patos de minas-MG,venancio aires-RS
cachoeirinha-RS,santa maria-RS,morrinhos-GO,toledo-PR,cascavel-PR,planura-MG
cachoeiro de itapemirim-ES,vila velha-ES,mossoro-RN,vitoria-ES,aracaju-SE,serra-ES
caiaponia-GO,coxim-MS,itaberai-GO,rio bonito-RJ,barra do bugres-MT,dom pedrito-RS
caieiras-SP,jandira-SP,taboao da serra-SP,olimpia-SP,batatais-SP,sao bernardo do campo-SP
cajamar-SP,osasco-SP,sao bernardo do campo-SP,sao caetano do sul-SP,nova odessa-SP,poa-SP
caldas novas-GO,dourados-MS,goiatuba-GO,catalao-GO,biguacu-SC,ijui-RS
