DATE;STORE;ITEM;STOCK
2018-01-05;L998;2105710;6.0
2018-01-05;L997;2105710;12.0
2018-01-05;L995;2105710;6.0
2018-01-05;L994;2105710;12.0
2018-01-05;L993;2105710;12.0
2018-01-05;L991;2105710;6.0
2018-01-05;L989;2105710;6.0
2018-01-05;L988;2105710;6.0
2018-01-05;L987;2105710;6.0
2018-01-05;L986;2105710;36.0
2018-01-05;L985;2105710;6.0
2018-01-05;L984;2105710;6.0
2018-01-05;L983;2105710;12.0
2018-01-05;L978;2105710;12.0
2018-01-05;L976;2105710;12.0
2018-01-05;L973;2105710;12.0
2018-01-05;L972;2105710;6.0
2018-01-05;L969;2105710;12.0
2018-01-05;L952;2105710;6.0
2018-01-05;L949;2105710;12.0
2018-01-05;L944;2105710;6.0
2018-01-05;L943;2105710;6.0
2018-01-05;L941;2105710;12.0
2018-01-05;L939;2105710;48.0
2018-01-05;L937;2105710;6.0
2018-01-05;L931;2105710;12.0
2018-01-05;L737;2105710;12.0
2018-01-05;L697;2105710;6.0
2018-01-05;L391;2105710;60.0
2018-01-05;5045;2105710;12.0
2018-01-05;5042;2105710;12.0
2018-01-05;5039;2105710;6.0
2018-01-05;5032;2105710;6.0
2018-01-05;5031;2105710;6.0
2018-01-05;5023;2105710;6.0
2018-01-05;5019;2105710;6.0
2018-01-05;5017;2105710;6.0
2018-01-05;5016;2105710;6.0
2018-01-05;5015;2105710;12.0
2018-01-05;5013;2105710;12.0
2018-01-05;5008;2105710;12.0
2018-01-05;5006;2105710;12.0
2018-01-05;5003;2105710;6.0
2018-01-05;5002;2105710;6.0
2018-01-05;5001;2105710;12.0
2018-01-05;1371;2105710;12.0
2018-01-05;1369;2105710;30.0
2018-01-05;1357;2105710;30.0
2018-01-05;1353;2105710;18.0
2018-01-05;1350;2105710;12.0
2018-01-05;1347;2105710;6.0
2018-01-05;1341;2105710;6.0
2018-01-05;1339;2105710;30.0
2018-01-05;1338;2105710;6.0
2018-01-05;1335;2105710;6.0
2018-01-05;1334;2105710;30.0
2018-01-05;1332;2105710;6.0
2018-01-05;1330;2105710;18.0
2018-01-05;1328;2105710;6.0
2018-01-05;1326;2105710;6.0
2018-01-05;1322;2105710;12.0
2018-01-05;1321;2105710;6.0
2018-01-05;1320;2105710;6.0
2018-01-05;1319;2105710;84.0
2018-01-05;1318;2105710;12.0
2018-01-05;1310;2105710;6.0
2018-01-05;1309;2105710;12.0
2018-01-05;1304;2105710;12.0
2018-01-05;1302;2105710;6.0
2018-01-05;1300;2105710;6.0
2018-01-05;1299;2105710;30.0
2018-01-05;1298;2105710;12.0
2018-01-05;1295;2105710;6.0
2018-01-05;1289;2105710;12.0
2018-01-05;1285;2105710;6.0
2018-01-05;1280;2105710;12.0
2018-01-05;1278;2105710;12.0
2018-01-05;1229;2105710;6.0
2018-01-05;1222;2105710;12.0
2018-01-05;1219;2105710;6.0
2018-01-05;1216;2105710;12.0
2018-01-07;L896;2105710;6.0
2018-01-07;5023;2105760;6.0
2018-01-07;5023;2105761;6.0
2018-01-07;5023;2108796;
2018-01-05;5066;4268848;
2018-01-05;5065;4268848;
2018-01-05;5064;4268848;
2018-01-05;5067;4268927;
2018-01-05;5066;4268927;
2018-01-05;5065;4268927;
2018-01-05;5064;4268927;
2018-01-08;5065;2105710;
2018-01-08;5065;2105760;
2018-01-09;1222;4269582;6.0
2018-01-08;L997;2108796;6.0
2018-01-08;L996;2108796;6.0
2018-01-08;L995;2108796;6.0
2018-01-08;L991;2108796;6.0
2018-01-08;L989;2108796;6.0
2018-01-08;L987;2108796;12.0
2018-01-08;L986;2108796;6.0
2018-01-08;L979;2108796;12.0
2018-01-08;L978;2108796;6.0
2018-01-08;L976;2108796;6.0
2018-01-08;L974;2108796;6.0
