PERIODO;ITEM;DESC_MATERIAL;DEPARTAMENTO;LOJA;CD;ESTOQUE_VALOR;ESTOQUE_QTDE;CMV;VENDA_QTDE;DIA;PREV_DIA;PREV_DIA_M;LEAD_TIME;GRADE;GRADE_M;ESTOQUE_ALVO;EST_SIM_QTDE;EST_SIM_VL;VDA_SIM_QTDE;VDA_SIM_CMV;CHAVE;ABAST;COUNTER
2018-01-01;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;290.6099853515625;173;0.0;0;1;0;11;5;17.0;55;40.0;55;0.0;0;0.0;False;0;0
2018-01-02;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;288.92999267578125;172;1.6799999475479126;1;2;4;11;5;16.0;55;45.0;0;0.0;0;0.0;False;0;0
2018-01-03;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;273.80999755859375;163;15.119999885559082;9;3;3;11;5;16.0;55;44.0;0;0.0;0;0.0;False;0;0
2018-01-04;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;250.2899932861328;149;23.520000457763672;14;4;4;11;5;14.0;55;38.0;0;0.0;0;0.0;False;0;0
2018-01-05;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;238.52999877929688;142;11.760000228881836;7;5;3;11;5;15.0;55;31.0;0;0.0;0;0.0;False;0;0
2018-01-06;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;223.41000366210938;133;15.119999885559082;9;6;3;11;5;16.0;55;22.0;0;0.0;0;0.0;False;0;0
2018-01-07;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;213.3300018310547;127;10.079999923706055;6;7;3;11;5;16.0;55;23.0;0;0.0;0;0.0;False;0;0
2018-01-08;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;199.88999938964844;119;13.4399995803833;8;8;3;11;5;15.0;55;22.0;0;0.0;0;0.0;False;0;0
2018-01-09;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;186.4499969482422;111;13.4399995803833;8;9;2;11;5;16.0;55;18.0;0;0.0;0;0.0;False;0;0
2018-01-10;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;287.2300109863281;171;0.0;0;10;4;11;5;15.0;55;27.0;0;0.0;0;0.0;False;0;0
2018-01-11;4058855;BALA GELATINA DENTADURA 100G FINI;D040;1000;L151;287.2300109863281;171;0.0;0;11;4;11;5;14.0;55;34.0;0;0.0;0;0.0;False;0;0
